music_num,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
71,61,0.0206,0.865,280309,0.568,0.0,C,0.18600000000000003,-5.112,Major,0.24100000000000002,90.985,4/4,0.8809999999999999
72,33,0.986,0.39,176920,0.0507,0.9620000000000001,D#,0.11800000000000001,-19.015,Minor,0.0469,137.701,4/4,0.061
73,62,0.0053100000000000005,0.654,255867,0.8390000000000001,0.0,A,0.308,-5.0760000000000005,Minor,0.44299999999999995,74.88600000000001,4/4,0.5489999999999999
74,47,0.7090000000000001,0.36700000000000005,221827,0.37200000000000005,0.9059999999999999,C,0.105,-12.761,Major,0.0282,95.992,3/4,0.105
75,51,0.0513,0.275,134373,0.485,0.778,D,0.48100000000000004,-11.743,Minor,0.0494,91.56200000000001,4/4,0.0424
76,79,0.506,0.569,205467,0.526,0.0,F#,0.0708,-6.67,Minor,0.359,124.969,5/4,0.474
77,80,0.381,0.642,195053,0.782,0.0,F,0.10800000000000001,-3.395,Minor,0.0477,162.005,4/4,0.396
78,72,0.245,0.42,295600,0.33,0.000679,A,0.0677,-13.925,Major,0.0275,157.143,3/4,0.175
79,35,0.885,0.226,174827,0.221,0.87,F#,0.10800000000000001,-13.375,Major,0.0356,157.722,5/4,0.049
80,38,0.987,0.166,191321,0.121,0.905,E,0.0755,-22.018,Minor,0.0408,111.492,4/4,0.0307
81,82,0.711,0.611,240342,0.466,0.000264,A,0.0847,-11.360999999999999,Major,0.37200000000000005,192.08,4/4,0.223
82,28,0.934,0.546,61600,0.00742,0.257,D,0.0912,-29.873,Major,0.406,116.613,3/4,0.222
83,64,0.00877,0.518,205173,0.7909999999999999,0.0,C,0.0769,-2.407,Major,0.0316,87.02799999999999,4/4,0.434
84,77,0.39399999999999996,0.637,228615,0.799,0.0,D,0.0921,-4.519,Major,0.0338,104.995,4/4,0.562
85,32,0.875,0.37,191160,0.22699999999999998,0.662,A#,0.0994,-14.585999999999999,Major,0.0316,127.809,1/4,0.0721
86,63,0.0048200000000000005,0.833,232863,0.57,3.51e-06,G#,0.16399999999999998,-6.5920000000000005,Major,0.11599999999999999,152.04399999999998,4/4,0.113
87,66,0.738,0.631,229990,0.516,0.0,C,0.264,-5.7589999999999995,Major,0.0378,143.77700000000002,4/4,0.254
88,66,0.038,0.8540000000000001,337733,0.6729999999999999,0.000227,E,0.255,-3.1319999999999997,Minor,0.185,95.0,4/4,0.955
89,71,0.0759,0.66,214227,0.6659999999999999,0.0,A,0.0268,-4.342,Major,0.0472,89.975,4/4,0.9329999999999999
90,70,0.405,0.573,312027,0.495,0.0,G#,0.0969,-7.245,Minor,0.5920000000000001,179.196,3/4,0.255
91,26,0.958,0.0853,216746,0.076,0.46399999999999997,A,0.10099999999999999,-19.102,Minor,0.0456,84.594,3/4,0.0329
92,32,0.537,0.21899999999999997,229320,0.415,0.951,D,0.0753,-11.588,Minor,0.0335,81.93700000000001,4/4,0.11
93,41,0.5329999999999999,0.212,217984,0.11800000000000001,0.917,F,0.11,-26.745,Major,0.078,70.791,4/4,0.0392
94,67,0.0609,0.648,242035,0.75,4.41e-06,C,0.10400000000000001,-3.248,Major,0.0335,105.03,4/4,0.556
95,24,0.996,0.465,81480,0.0010400000000000001,0.948,G,0.091,-39.568000000000005,Minor,0.0552,133.564,5/4,0.647
96,32,0.955,0.17600000000000002,132907,0.0148,0.9209999999999999,D,0.109,-32.929,Major,0.0376,81.497,4/4,0.0358
97,27,0.765,0.534,199533,0.237,0.223,B,0.122,-10.876,Major,0.13,125.619,4/4,0.7070000000000001
98,62,0.643,0.5579999999999999,178903,0.535,0.0,F,0.10099999999999999,-10.37,Major,0.162,169.912,4/4,0.46299999999999997
99,24,0.9490000000000001,0.171,238227,0.162,0.81,C,0.0896,-18.21,Minor,0.0441,126.28200000000001,5/4,0.038
100,64,0.00117,0.616,234693,0.862,0.0,G,0.179,-5.18,Minor,0.0973,127.992,4/4,0.569
101,67,0.294,0.54,306040,0.423,0.0884,F#,0.152,-8.799,Major,0.0283,150.135,4/4,0.353
102,67,0.302,0.745,224449,0.48100000000000004,3.67e-06,D,0.0808,-8.291,Major,0.054000000000000006,137.001,4/4,0.22899999999999998
103,28,0.9590000000000001,0.465,212731,0.0901,0.953,A,0.125,-23.445999999999998,Minor,0.0331,159.955,4/4,0.0367
104,38,0.322,0.155,132020,0.258,0.9390000000000001,A#,0.11800000000000001,-12.968,Major,0.0485,149.99200000000002,1/4,0.0362
105,21,0.504,0.19,143293,0.222,0.852,D,0.10400000000000001,-15.206,Major,0.0335,109.416,4/4,0.0617
106,68,0.12300000000000001,0.706,201600,0.728,0.0,G,0.185,-3.602,Major,0.0852,121.01700000000001,4/4,0.851
107,87,0.215,0.63,220293,0.804,0.0,F#,0.253,-4.183,Major,0.0363,123.146,4/4,0.49200000000000005
108,57,0.000813,0.44299999999999995,278640,0.545,0.0137,C,0.20199999999999999,-8.196,Major,0.0273,99.914,4/4,0.10400000000000001
109,59,0.904,0.105,224613,0.0532,0.9159999999999999,A,0.0838,-24.486,Major,0.0385,91.046,5/4,0.0318
110,63,0.0139,0.396,204587,0.574,1e-05,D,0.32,-7.381,Major,0.0426,116.605,4/4,0.0758
111,59,0.0595,0.456,204093,0.8740000000000001,1.12e-05,A#,0.111,-4.129,Minor,0.114,200.179,4/4,0.5
112,75,0.0017800000000000001,0.39399999999999996,292581,0.9440000000000001,4.54e-06,A#,0.298,-6.506,Minor,0.0761,105.338,4/4,0.265
113,61,0.446,0.541,246920,0.675,0.0,A#,0.107,-6.136,Major,0.192,91.09,4/4,0.6859999999999999
114,29,0.39399999999999996,0.23,66879,0.307,0.861,A,0.243,-6.05,Minor,0.0343,116.13799999999999,4/4,0.12
115,27,0.239,0.526,64347,0.235,0.8109999999999999,E,0.145,-17.91,Major,0.0358,118.06299999999999,4/4,0.11800000000000001
116,38,0.893,0.25,96907,0.254,0.899,F,0.0749,-14.399000000000001,Minor,0.0347,104.083,4/4,0.0388
117,34,0.698,0.0651,200440,0.226,0.924,A#,0.0803,-16.802,Major,0.0412,71.673,3/4,0.0355
118,36,0.95,0.17600000000000002,171720,0.0398,0.961,G#,0.13699999999999998,-31.831,Major,0.0364,83.054,1/4,0.0754
119,32,0.9620000000000001,0.2,181267,0.0465,0.191,B,0.17600000000000002,-23.988000000000003,Minor,0.0418,87.70700000000001,4/4,0.0695
120,34,0.983,0.337,76600,0.0241,0.89,C,0.113,-24.703000000000003,Minor,0.0669,69.749,3/4,0.276
121,37,0.927,0.18899999999999997,197307,0.16,0.42100000000000004,A#,0.111,-19.862000000000002,Major,0.0427,31.988000000000003,4/4,0.0749
122,63,0.7290000000000001,0.457,179320,0.33299999999999996,0.0,F,0.166,-9.76,Major,0.131,166.463,4/4,0.251
123,33,0.87,0.294,269907,0.24100000000000002,0.892,F,0.0796,-17.159000000000002,Minor,0.0387,129.991,4/4,0.0928
124,37,0.9259999999999999,0.272,165240,0.213,0.9490000000000001,A#,0.087,-16.557000000000002,Minor,0.0357,152.162,4/4,0.111
125,65,0.371,0.735,278507,0.7490000000000001,0.0,A#,0.47,-3.766,Minor,0.0874,93.71799999999999,4/4,0.373
126,35,0.43,0.213,133760,0.5539999999999999,0.917,D,0.312,-15.307,Minor,0.0574,84.064,4/4,0.135
127,29,0.9540000000000001,0.376,62987,0.0109,0.9420000000000001,G,0.13699999999999998,-35.588,Minor,0.0806,128.41299999999998,5/4,0.34
128,27,0.919,0.244,227427,0.16699999999999998,0.919,G,0.12300000000000001,-16.996,Minor,0.0357,140.511,3/4,0.154
129,31,0.956,0.374,231107,0.10099999999999999,0.885,F,0.0825,-23.748,Minor,0.0559,103.259,3/4,0.0713
130,34,0.5920000000000001,0.212,92240,0.0107,0.72,G,0.213,-38.358000000000004,Minor,0.0416,66.094,4/4,0.04
131,60,0.0124,0.642,173880,0.754,6.23e-06,C,0.223,-4.265,Major,0.0298,125.03200000000001,4/4,0.499
132,31,0.836,0.16899999999999998,193013,0.0686,0.452,A#,0.105,-24.05,Minor,0.0445,112.04899999999999,4/4,0.0283
133,56,0.0463,0.49,169467,0.7490000000000001,0.0,F,0.0957,-3.543,Minor,0.051,159.97799999999998,4/4,0.488
134,25,0.9209999999999999,0.6859999999999999,160480,0.165,0.943,F,0.0958,-22.665,Minor,0.0301,100.027,4/4,0.151
135,31,0.489,0.37,123493,0.27699999999999997,0.0322,F,0.0647,-20.715999999999998,Minor,0.0323,76.131,4/4,0.313
136,36,0.42100000000000004,0.521,74227,0.446,0.0,D,0.21600000000000003,-13.9,Major,0.0422,110.057,4/4,0.907
137,58,0.25,0.58,235173,0.575,1.83e-05,D#,0.0813,-7.72,Major,0.0231,92.934,4/4,0.37
138,72,0.00271,0.618,210928,0.754,0.0,E,0.213,-3.739,Major,0.0882,148.013,4/4,0.485
139,58,0.209,0.436,170840,0.804,0.0,C,0.171,-4.907,Major,0.0409,188.06099999999998,4/4,0.784
140,21,0.8370000000000001,0.46,114531,0.131,0.9279999999999999,C#,0.129,-17.838,Major,0.0365,167.96,4/4,0.235
141,57,0.0423,0.508,244720,0.907,6.829999999999999e-05,F#,0.221,-3.443,Minor,0.0565,104.99700000000001,4/4,0.5870000000000001
142,61,0.267,0.693,155587,0.752,0.0,G,0.158,-4.599,Minor,0.0468,86.039,4/4,0.536
143,45,0.83,0.171,85787,0.15,0.7859999999999999,G,0.11,-25.065,Major,0.0388,114.833,3/4,0.0368
144,67,0.9490000000000001,0.532,270400,0.0744,1.22e-05,C#,0.106,-16.092,Major,0.0355,117.131,3/4,0.125
145,91,0.0815,0.758,216893,0.665,0.000157,D,0.21600000000000003,-5.188,Minor,0.0774,151.976,4/4,0.643
146,66,0.667,0.657,251760,0.467,1.92e-06,F,0.0295,-8.925,Major,0.0341,100.139,4/4,0.276
147,63,0.552,0.812,161876,0.447,0.0,B,0.32299999999999995,-7.629,Minor,0.0765,125.075,4/4,0.703
148,65,0.0114,0.451,232160,0.632,0.0,G#,0.198,-7.98,Minor,0.297,132.89,4/4,0.23399999999999999
149,32,0.9840000000000001,0.389,118875,0.0699,0.94,C,0.0833,-21.357,Minor,0.0471,112.529,3/4,0.0329
150,65,0.0011,0.488,244400,0.909,1.0199999999999999e-05,A#,0.456,-6.591,Major,0.0929,129.774,4/4,0.643
151,28,0.873,0.293,179187,0.00613,0.59,F,0.107,-38.371,Major,0.0385,136.611,3/4,0.0494
152,66,0.0689,0.732,190328,0.589,0.0,F,0.0489,-6.223,Minor,0.07200000000000001,127.96799999999999,4/4,0.619
153,66,0.45299999999999996,0.894,236507,0.40399999999999997,1.57e-06,A,0.0801,-5.912999999999999,Minor,0.13,102.009,4/4,0.759
154,31,0.341,0.17600000000000002,438147,0.282,0.802,D,0.11800000000000001,-18.721,Major,0.0384,87.087,4/4,0.0361
155,30,0.7909999999999999,0.195,120347,0.436,0.7240000000000001,B,0.138,-11.909,Minor,0.0455,64.29,4/4,0.0345
156,69,0.0117,0.42100000000000004,257200,0.7909999999999999,1.4800000000000002e-05,A,0.146,-4.998,Major,0.0496,130.075,4/4,0.499
157,36,0.9059999999999999,0.172,238773,0.0594,0.872,C,0.244,-25.058000000000003,Minor,0.0337,79.265,4/4,0.12300000000000001
158,73,0.14300000000000002,0.545,253747,0.649,1.57e-05,F#,0.0894,-4.062,Major,0.0324,99.09899999999999,4/4,0.297
159,57,0.19699999999999998,0.73,194267,0.728,0.0,B,0.19699999999999998,-3.113,Major,0.0291,130.061,4/4,0.68
160,41,0.0015300000000000001,0.196,331653,0.737,0.745,B,0.0865,-8.961,Minor,0.0728,96.13799999999999,3/4,0.0898
161,61,0.897,0.5760000000000001,208452,0.28300000000000003,0.892,D,0.0841,-13.004000000000001,Major,0.039,119.277,4/4,0.252
162,78,0.205,0.74,219600,0.74,0.0,F,0.107,-3.647,Minor,0.0686,93.95,4/4,0.7170000000000001
163,70,0.171,0.78,227693,0.929,0.0,B,0.0677,-0.7390000000000001,Minor,0.0532,95.012,4/4,0.8370000000000001
